"Timestamp"," Do you use any digital services(e.g., online banking, e-commerce)?","Gender","Age","Educational Qualification","Occupation","Monthly Income","Residence","How frequently do you use digital services?","How many years have you been using digital services?","Which of the following is the strongest password?","You receive an email asking you to click a link and urgently confirm your bank account details. What is the safest action?","Which of the following is a common indicator of a phishing message?","What is the primary purpose of two-factor authentication (2FA)?","Which website address generally indicates that the connection is encrypted?","What is the most appropriate action when a legitimate security update is available for your device or application?","If a message requests your bank PIN, password, or OTP, what should you do?","What is the safest approach when using an unsecured public Wi-Fi network?","What should you do if you suspect that your online account has been compromised?","Which statement about software security updates is correct?","Digital service providers adequately protect my personal information.","I believe my financial information is securely stored.","Privacy policies of digital platforms are clear and understandable.","I have control over how my personal information is used.","Digital platforms collect only the information necessary for providing services.","I am confident that my personal data will not be shared without my consent.","I feel safe when sharing personal information through digital services.","Digital services are available whenever I need them.","Digital platforms perform transactions accurately.","I rarely experience technical failures while using digital services.","Digital services recover quickly after technical problems.","Digital platforms provide consistent service quality.","I believe digital systems are dependable.","Digital services maintain secure and uninterrupted operations.","I trust digital service providers to handle my personal information responsibly.","I feel confident when using digital services for financial transactions.","I believe digital service providers take adequate measures to protect users from cybersecurity threats.","I am concerned that digital service providers may not adequately protect my personal information.","I believe digital service providers are reliable in delivering online services.","I would hesitate to use a digital service if I were uncertain about its security. ","I believe digital service providers act in the best interests of their users.","I consider digital services generally trustworthy.","I am willing to continue using digital services that provide adequate security and privacy protection.","I would recommend a digital service that I consider secure and reliable to others."
"2026/08/20 6:17:26 PM GMT+1","Yes","Male","31-40","Diploma","Others","£1001 - £1500","Rural","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly disagree","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree"
"2026/08/20 6:24:01 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Rural","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Neutral","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree"
"2026/08/20 6:24:26 PM GMT+1","Yes","Male","21–30","Undergraduate","Private Employee","Below £1000","Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","example-free-login.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Disagree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Disagree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree"
"2026/08/20 6:31:42 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 6:36:23 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Daily","1–3 years","Name@123","Avoid the link and contact the bank through its official channel","A message containing your name","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Disagree","Neutral","Disagree","Neutral","Neutral","Strongly disagree","Strongly disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral"
"2026/08/20 6:55:21 PM GMT+1","Yes","Male","Below 20","Undergraduate","Student","Below £1000","Urban","Weekly","1–3 years","Name@123","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 7:09:51 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 7:13:30 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 7:31:00 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 8:10:42 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","£1501 - £2000","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To prevent all types of cyberattacks","An unfamiliar shortened URL","Ignore it permanently","Provide only the OTP","Disable device security features","Ignore the incident","They are generally unnecessary","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
"2026/08/20 8:53:37 PM GMT+1","Yes","Prefer not to say","21–30","Doctorate","Student","£1001 - £1500","Semi-Urban","Weekly","1–3 years","password123","Click the link and verify the account","A routine service notification","To automatically change passwords","An unfamiliar shortened URL","Ignore it permanently","Provide only the OTP","Disable device security features","Ignore the incident","They always reduce device security","Neutral","Strongly agree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Neutral"
"2026/08/20 8:57:47 PM GMT+1","Yes","Male","21–30","Undergraduate","Business","Below £1000","Semi-Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Strongly disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree"
"2026/08/20 9:28:33 PM GMT+1","Yes","Male","21–30","Undergraduate","Self-employed","Below £1000","Urban","Weekly","Less than 1 year","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They are generally unnecessary","Neutral","Strongly Disagree","Strongly agree","Agree","Neutral","Disagree","Strongly Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Neutral","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree"
